文件名,编,分编,章,节,内容
贵港市文明行为促进规定,,,,,第一条 为了培育和践行社会主义核心价值观铸牢中华民族共同体意识传承和弘扬中华优秀传统文化倡导文明行为提升公民文明素养推进社会文明进步根据《广西壮族自治区文明行为促进条例》以及有关法律、法规结合本市实际制定本规定。
贵港市文明行为促进规定,,,,,第二条 本市行政区域内文明行为促进及其相关工作适用本规定。
贵港市文明行为促进规定,,,,,第三条 公民应当维护城镇公共形象维护城市市容自觉遵守下列规定通信等线缆不采摘果实用低俗语言或者大声喧哗
贵港市文明行为促进规定,,,,,第四条 公民应当参与乡村文明建设自觉遵守下列规定儿童和空巢老人良风气反对迷信、赌博等不良行为不乱堆放土石、柴草等物质文化遗产等
贵港市文明行为促进规定,,,,,第五条 公民应当参与住宅小区文明建设自觉遵守下列规定动时不干扰其他居民正常生活措施不影响、伤害其他居民不污染环境碍车辆停放和通行口等公共区域堆放杂物、停放车辆电动交通工具充电
贵港市文明行为促进规定,,,,,第六条 在辖区通航水域行驶船舶自觉遵守下列规定
贵港市文明行为促进规定,,,,,第七条 践行绿色发展理念崇尚健康生活方式倡导下列文明行为公筷绿色低碳出行方式保电器等绿色产品少和避免使用一次性用品
贵港市文明行为促进规定,,,,,第八条 除《广西壮族自治区文明行为促进条例》规定的重点治理内容以外下列不文明行为列入本市重点治理清单市人民政府可以根据文明行为促进工作需要将社会反响强烈、群众反映集中的其他不文明行为列入重点治理清单并根据实际情况及时调整。不文明行为重点治理清单的制定、调整应当征求社会公众意见并向社会公布。
贵港市文明行为促进规定,,,,,第九条 推动爱国主义教育融入国民教育和精神文明建设全过程以中共广西省第一次代表大会旧址、广西贵港市黄大年科学家精神教育基地等为阵地传承红色基因弘扬爱国主义精神。利用图书馆、博物馆、文化馆等公共文化设施开展文明行为宣传引导活动培养公民的文明意识和文明行为习惯。
贵港市文明行为促进规定,,,,,第十条 每年七月为本市文明行为促进月可以结合荷文化系列活动利用道德讲堂、荷城大舞台群众汇演、百孝之子评选等展现贵港文化特色的载体集中开展文明行为宣传、实践活动。
贵港市文明行为促进规定,,,,,第十一条 单位应当开展文明行为促进工作并对其工作场所、营业场所或者服务区域进行监督检查。经营场所、公共场所的经营者或者管理者可以在场所内设置具体文明行为规范提示牌发现场所内有不文明行为的及时劝阻、制止。
贵港市文明行为促进规定,,,,,第十二条 鼓励社会组织和个人依法设立慈善超市、残障群体救助、社区义工等公益志愿服务平台参加公益志愿服务活动协助政府相关部门做好文明行为促进工作。
贵港市文明行为促进规定,,,,,第十三条 任何单位和个人有权对不文明行为进行劝阻、制止并可以向政务服务热线或者有关部门投诉、举报接到投诉、举报的部门应当及时处理。
贵港市文明行为促进规定,,,,,第十四条 本规定自 2024 年 5 月 1 日起施行。
