文件名,编,分编,章,节,内容
洛阳市洛阳牡丹保护与发展条例,,,第一章 总 则,,第一条 为了加强洛阳牡丹保护管理促进牡丹文化传承打造牡丹花都建设北国花城推动牡丹及其相关产业高质量发展根据有关法律、法规结合本市实际制定本条例。
洛阳市洛阳牡丹保护与发展条例,,,第一章 总 则,,第二条 本市行政区域内牡丹的保护管理、产业发展和文化传承等活动适用本条例。本条例未作规定的适用有关法律、法规规定。
洛阳市洛阳牡丹保护与发展条例,,,第一章 总 则,,第三条 洛阳牡丹保护与发展应当遵循政府引导、市场运作、社会参与、依法规范的原则。
洛阳市洛阳牡丹保护与发展条例,,,第一章 总 则,,第四条 市、县、区人民政府应当加强对牡丹保护与发展工作的领导将其纳入国民经济和社会发展规划制定洛阳牡丹保护与发展专项规划建立统筹协调和激励保护机制将牡丹保护与发展资金纳入本级财政预算。县、区人民政府应当按照市人民政府的安排做好洛阳牡丹种植和观赏园建设、种质资源保护、科技创新、融合发展等工作。
洛阳市洛阳牡丹保护与发展条例,,,第一章 总 则,,第五条 市人民政府林业、城市管理部门是洛阳牡丹保护与发展工作的主管部门。林业部门负责洛阳牡丹种植产业的管理、监督、指导等工作。城市管理部门负责公园、游园和景观绿化带内牡丹种植养护的管理、监督、指导等工作。文化广电和旅游部门负责洛阳牡丹文化保护传承、文旅融合发展的管理、监督、指导等工作。市场监督管理部门负责洛阳牡丹相关生产、经营活动、产品质量安全的管理、监督、指导以及商标、专利等相关知识产权保护工作。发展和改革、教育、科学技术、工业和信息化、财政、人力资源和社会保障、自然资源和规划、生态环境、住房和城乡建设、水利、农业农村、商务、金融、文物等部门应当按照各自职责做好洛阳牡丹保护与发展相关工作。
洛阳市洛阳牡丹保护与发展条例,,,第一章 总 则,,第六条 牡丹行业协会应当加强行业自律和人才培养规范行业行为引导行业生产经营主体公平参与市场竞争推动洛阳牡丹及其相关产业健康有序发展。
洛阳市洛阳牡丹保护与发展条例,,,第一章 总 则,,第七条 市、县、区人民政府对牡丹种植、产业发展、品牌建设、传承推广等作出突出贡献的单位和个人按照有关规定给予表彰和奖励。
洛阳市洛阳牡丹保护与发展条例,,,第二章 种植与观赏园建设,,第八条 市、县、区人民政府应当统筹牡丹种植、观赏等工作科学合理安排用地保障牡丹产业用地供给引导和扶持牡丹标准化、规模化种植重点发展鲜切花、盆花、种苗等产业。
洛阳市洛阳牡丹保护与发展条例,,,第二章 种植与观赏园建设,,第九条 鼓励牡丹传统种植区所在的县、区人民政府建立牡丹种植基地对符合标准的牡丹种植基地挂牌保护实行分级管理并给予技术扶持。
洛阳市洛阳牡丹保护与发展条例,,,第二章 种植与观赏园建设,,第十条 市林业部门、市农林科学院应当加强牡丹种质资源保护、新品种研发培育做好种质资源的收集、鉴定、登记、保存、研究和利用工作提高洛阳牡丹种质资源库管理水平。
洛阳市洛阳牡丹保护与发展条例,,,第二章 种植与观赏园建设,,第十一条 市林业部门应当建立濒危品种、珍稀品种、特色植株、野生植株以及四十年以上株龄牡丹等档案制定分类保护措施。禁止任何单位和个人非法采集、破坏、毁损国家、省重点保护的野生牡丹或者破坏其生长环境。
洛阳市洛阳牡丹保护与发展条例,,,第二章 种植与观赏园建设,,第十二条 市林业、科学技术部门以及市农林科学院、重点实验室等科研机构应当加大花期延长、反季节牡丹栽培、新品种培育等关键技术研发攻关推动牡丹基因等方面科研成果的转化、应用实现牡丹种植产业发展现代化。
洛阳市洛阳牡丹保护与发展条例,,,第二章 种植与观赏园建设,,第十三条 牡丹种植者应当科学合理使用农药、肥料不得使用剧毒、高毒、高残留农药。支持推广生物、物理和其他综合性病虫害防控技术。
洛阳市洛阳牡丹保护与发展条例,,,第二章 种植与观赏园建设,,第十四条 城市管理、林业部门应当加强牡丹观赏园规划、建设和管理工作提高建设标准适度扩大面积与规模建立长效机制。
洛阳市洛阳牡丹保护与发展条例,,,第二章 种植与观赏园建设,,第十五条 禁止破坏、毁损公园等绿地的牡丹植株以及保护设施、保护标志。
洛阳市洛阳牡丹保护与发展条例,,,第二章 种植与观赏园建设,,第十六条 禁止擅自改变牡丹观赏园的用地性质和用途。确需改变牡丹观赏园用地性质和用途的应当征求市城市管理、林业、自然资源和规划、文物部门的意见另行规划出不小于原规模的观赏园建设用地按照法定程序和审批权限办理手续。
洛阳市洛阳牡丹保护与发展条例,,,第二章 种植与观赏园建设,,第十七条 支持单位和个人利用庭院空间种植牡丹引导民众种花、养花、爱花、护花营造牡丹花都氛围。
洛阳市洛阳牡丹保护与发展条例,,,第二章 种植与观赏园建设,,第十八条 鼓励和支持洛阳牡丹异地建园、布展扩大洛阳牡丹品牌影响力和知名度。
洛阳市洛阳牡丹保护与发展条例,,,第三章 产品开发与贸易,,第十九条 牡丹加工应当以市场化运作为导向以科技创新为支撑以一二三产融合发展为方向重点发展深加工类牡丹产业推动牡丹加工全链条、规模化、专业化、标准化生产。
洛阳市洛阳牡丹保护与发展条例,,,第三章 产品开发与贸易,,第二十条 市、县、区人民政府应当加强对牡丹产业的市场分析建立产业平台、引入市场主体、培育龙头企业支持洛阳牡丹本土品牌建设。
洛阳市洛阳牡丹保护与发展条例,,,第三章 产品开发与贸易,,第二十一条 支持洛阳牡丹产业龙头企业发挥示范带头作用鼓励和支持牡丹深加工企业开发牡丹食品、药品、保健品、日化用品等延伸牡丹加工产业链条。
洛阳市洛阳牡丹保护与发展条例,,,第三章 产品开发与贸易,,第二十二条 鼓励和支持洛阳牡丹产业相关企业加大科技投入整合资源和生产要素研究加工技术提高产能和品质。
洛阳市洛阳牡丹保护与发展条例,,,第三章 产品开发与贸易,,第二十三条 市、县、区人民政府应当加强牡丹产业现代物流平台建设完善仓储、快递物流等配套设施建设牡丹产业物流集散中心。
洛阳市洛阳牡丹保护与发展条例,,,第三章 产品开发与贸易,,第二十四条 培育以牡丹鲜切花、盆花销售为主的综合型花卉交易市场建设国内知名的牡丹产业展示展销交易中心。
洛阳市洛阳牡丹保护与发展条例,,,第三章 产品开发与贸易,,第二十五条 支持信息技术在牡丹产业中的应用推动大数据、人工智能等数字化技术与牡丹产业相融合培育洛阳牡丹数字化产业新形态。支持牡丹产业工业互联网平台建设运用大数据手段对牡丹种植和牡丹相关产品的生产、加工、检验、交易等信息进行分析为牡丹产业发展提供数据支撑。
洛阳市洛阳牡丹保护与发展条例,,,第三章 产品开发与贸易,,第二十六条 商务部门应当支持电子商务与牡丹产业深度融合改造传统营销渠道推动牡丹交易线上线下融合发展。
洛阳市洛阳牡丹保护与发展条例,,,第三章 产品开发与贸易,,第二十七条 支持洛阳牡丹企业参加博览会、商品交易会、贸易洽谈会等推介活动拓展牡丹产业市场规模提升品牌形象。
洛阳市洛阳牡丹保护与发展条例,,,第四章 文化与传承,,第二十八条 市、县、区人民政府应当在城乡规划和建设中结合实际融入牡丹元素支持建设牡丹文化博物馆、特色小镇、主题公园、特色街区等彰显洛阳牡丹文化特色。
洛阳市洛阳牡丹保护与发展条例,,,第四章 文化与传承,,第二十九条 市人民政府应当开发推广牡丹文化旅游项目推动牡丹文化的展示、宣传和对外交流持续提高中国洛阳牡丹文化节国际知名度。
洛阳市洛阳牡丹保护与发展条例,,,第四章 文化与传承,,第三十条 支持洛阳牡丹题材文艺作品的创作、宣传、交流和传播加强洛阳牡丹文化研究力度提高洛阳牡丹文化影响力。鼓励发展主题演艺、影视制作、文化会展和动漫产品等牡丹文化旅游产业。
洛阳市洛阳牡丹保护与发展条例,,,第四章 文化与传承,,第三十一条 市文化广电和旅游部门应当加强洛阳牡丹相关非物质文化遗产的保护、传承和发展工作对列入非物质文化遗产名录的项目或者代表性传承人给予保护、奖励。支持非物质文化遗产代表性传承人对牡丹栽培技艺、花茶制作技艺、牡丹画技法等非物质文化遗产项目开展整理、研究、学术交流等传承传播活动。
洛阳市洛阳牡丹保护与发展条例,,,第四章 文化与传承,,第三十二条 市文物部门应当加大对洛阳牡丹元素相关文物藏品的征集力度丰富博物馆的馆藏全方位、多角度展示洛阳牡丹文物藏品传承弘扬洛阳牡丹历史文化。
洛阳市洛阳牡丹保护与发展条例,,,第四章 文化与传承,,第三十三条 相关部门和单位应当加强对洛阳牡丹农耕文化遗产、文物、民俗实物、牡丹书画、牡丹雕刻、诗词典籍、民间传说等的挖掘、征集、整理、保护、研究和展示工作。
洛阳市洛阳牡丹保护与发展条例,,,第四章 文化与传承,,第三十四条 支持牡丹文创产品的研发与创新推动牡丹画、牡丹瓷、牡丹服饰、牡丹数字产品等衍生品的产业发展。
洛阳市洛阳牡丹保护与发展条例,,,第四章 文化与传承,,第三十五条 在旅游景区、牡丹观赏园、街巷绿地科学规划布局牡丹主题剧本娱乐、汉服体验、街头表演等年轻化消费业态打造沉浸式体验场景。
洛阳市洛阳牡丹保护与发展条例,,,第四章 文化与传承,,第三十六条 鼓励和支持学校开展牡丹文化教育、研学活动普及牡丹文化知识。鼓励和支持报刊、广播、电视、网络等新闻媒体宣传洛阳牡丹文化。
洛阳市洛阳牡丹保护与发展条例,,,第五章 保障措施,,第三十七条 支持洛阳牡丹品牌建设鼓励相关企业、行业协会申请洛阳牡丹相关地理标志、证明商标、集体商标以及中国驰名商标、中华老字号等。
洛阳市洛阳牡丹保护与发展条例,,,第五章 保障措施,,第三十八条 引导洛阳牡丹生产经营者申请使用洛阳牡丹地理标志证明商标和地理标志专用标志。符合洛阳牡丹地理标志证明商标使用管理规则规定申请使用的商标注册人应当予以许可。人应当按照有关标准种植牡丹确保产品质量符合标准要求。
洛阳市洛阳牡丹保护与发展条例,,,第五章 保障措施,,第三十九条 禁止任何单位和个人擅自使用或者伪造、冒用与地理标志证明商标和地理标志专用标志相近、易产生误解的名称或者标识以及可能误导消费者的文字或者图案标志。
洛阳市洛阳牡丹保护与发展条例,,,第五章 保障措施,,第四十条 市、县、区人民政府应当加强牡丹产业专业人才队伍建设培养和引进牡丹种植、生产加工、研发、文化传承、旅游等专业技术人才建立牡丹专家库。开展牡丹资源引进、规划移栽、抢救、复壮等工作时应当组织相关专家参与、论证。
洛阳市洛阳牡丹保护与发展条例,,,第五章 保障措施,,第四十一条 支持高等院校和科研院所设立实验室、工程技术中心、研发中心等牡丹科研机构推进牡丹科技创新和成果转化。
洛阳市洛阳牡丹保护与发展条例,,,第五章 保障措施,,第四十二条 市人民政府应当出台激励措施引导社会资本加大牡丹种植、加工、流通、科研、文化传承等方面资金投入。
洛阳市洛阳牡丹保护与发展条例,,,第五章 保障措施,,第四十三条 鼓励金融机构加大牡丹产业信贷支持力度鼓励保险机构开发牡丹相关保险产品支持符合条件的牡丹相关企业上市。
洛阳市洛阳牡丹保护与发展条例,,,第五章 保障措施,,第四十四条 市人大常委会应当每年听取和审议市人民政府牡丹保护与高质量发展专项工作报告。
洛阳市洛阳牡丹保护与发展条例,,,第六章 法律责任,,第四十五条 违反本条例规定法律、法规已有法律责任规定的从其规定。
洛阳市洛阳牡丹保护与发展条例,,,第六章 法律责任,,第四十六条 违反本条例第十五条规定破坏、毁损公园等绿地内牡丹植株的由城市管理部门责令改正拒不改正的可以处二百元以上二千元以下罚款。
洛阳市洛阳牡丹保护与发展条例,,,第六章 法律责任,,第四十七条 行政主管部门和其他有关部门工作人员在洛阳牡丹保护与发展工作中滥用职权、玩忽职守、徇私舞弊的对直接负责的主管人员和其他直接责任人员依法给予处分构成犯罪的依法追究刑事责任。
洛阳市洛阳牡丹保护与发展条例,,,第七章 附 则,,第四十八条 本条例自 2024 年 1 月 1 日起施行。
