文件名,编,分编,章,节,内容
宣城市传统村落保护条例,,,第一章 总 则,,第一条 为了加强传统村落保护维护村落传统风貌传承中华优秀传统文化合理利用传统村落资源根据有关法律、行政法规结合本市实际制定本条例。
宣城市传统村落保护条例,,,第一章 总 则,,第二条 本条例适用于本市行政区域内传统村落的保护利用。本条例所称传统村落是指形成较早拥有较丰富的传统资源具有一定历史、文化、科学、艺术、社会、生态、经济价值列入国家级、省级传统村落名录的村落。
宣城市传统村落保护条例,,,第一章 总 则,,第三条 传统村落保护应当遵循科学规划、保护优先活态传承、合理利用政府引导、村民主体、社会参与的原则。
宣城市传统村落保护条例,,,第一章 总 则,,第四条 市、县市、区人民政府应当将传统村落保护纳入国民经济和社会发展规划建立健全传统村落保护工作协调机制和资金保障机制解决传统村落保护中的重大问题。
宣城市传统村落保护条例,,,第一章 总 则,,第五条 市、县市、区人民政府住房和城乡建设部门主管传统村落保护工作负责传统村落保护的监督、管理和指导。市、县市、区人民政府文化和旅游主管部门负责将传统村落保护纳入本级文化和旅游规划加强对传统村落内文化遗产保护工作的监督、管理和指导。市、县市、区人民政府自然资源和规划主管部门负责对传统村落保护发展规划工作的监督、指导。市、县市、区人民政府财政、农业农村、发展改革、公安、生态环境、交通运输、水利、林业、应急管理、消防救援、市场监管等部门按照各自职责做好传统村落保护相关工作。
宣城市传统村落保护条例,,,第一章 总 则,,第六条 传统村落所在地乡镇人民政府应当做好下列工作全设施维护传统风貌合理利用村落资源改善人居环境风民俗并保护与之相关的空间场所、物质载体
宣城市传统村落保护条例,,,第一章 总 则,,第七条 传统村落所在地村民委员会应当做好下列工作落保护的相关法律、法规照传统村落保护要求保护文物古迹合理使用传统建筑落的传统建筑构件进行收集、保护并及时向乡镇人民政府报告乡镇人民政府报告
宣城市传统村落保护条例,,,第一章 总 则,,第八条 传统村落保护应当尊重村民意愿发挥村民主体作用保障村民合法权益。
宣城市传统村落保护条例,,,第一章 总 则,,第九条 各级人民政府应当加强传统村落保护的宣传教育增强社会各界对传统村落保护的意识。任何组织或者个人有权对传统村落的保护利用提出意见和建议有权对破坏、损害传统村落的行为进行劝阻和举报。
宣城市传统村落保护条例,,,第二章 规划编制,,第十条 传统村落所在地乡镇人民政府应当自传统村落名录公布之日起一年内组织编制完成传统村落保护发展规划。传统村落保护发展规划应当符合所在地国土空间规划有关要求并与其他相关规划相衔接。
