文件名,编,分编,章,节,内容
本溪满族自治县旅游资源保护条例,,,,,第一条 为了保护和合理规划、开发利用旅游资源促进旅游业可持续发展根据《中华人民共和国民族区域自治法》《中华人民共和国旅游法》等有关法律、法规结合自治县实际制定本条例。
本溪满族自治县旅游资源保护条例,,,,,第二条 自治县行政区域内旅游资源的规划、保护、开发、利用和管理适用本条例。本条例所称的旅游资源是指可以为旅游业开发利用的自然资源、人文资源和其他社会资源。
本溪满族自治县旅游资源保护条例,,,,,第三条 旅游资源保护和利用应当遵循统一规划、保护优先、合理利用的原则。坚持生态效益、社会效益和经济效益相统一。
本溪满族自治县旅游资源保护条例,,,,,第四条 自治县人民政府统一领导、组织、协调旅游资源的保护和管理工作。旅游行政主管部门负责本条例的具体实施。自治县人民政府有关部门按照各自职责实施本条例。乡镇人民政府、街道办事处协助做好旅游资源的保护和管理工作。
本溪满族自治县旅游资源保护条例,,,,,第五条 自治县人民政府组织有关部门和专家共同编制自治县旅游资源保护规划划定旅游资源保护区域制定自治县旅游资源保护名录并广泛征求社会公众的意见。旅游资源保护规划经自治县人民代表大会批准后实施并由自治县人民政府向社会公告。
本溪满族自治县旅游资源保护条例,,,,,第六条 自治县旅游行政主管部门应当会同有关部门对列入自治县旅游资源保护名录的景区景点进行普查、评价并建立档案制定景区景点管理制度明确管理单位督促管理单位落实保护措施。
本溪满族自治县旅游资源保护条例,,,,,第七条 自治县人民政府加强文物保护单位及宗教活动场所等旅游资源的管理和保护。自治县人民政府加强对颁金节、莫勒真大会等满族及其他少数民族传统文化旅游资源的开发、保护和利用。
本溪满族自治县旅游资源保护条例,,,,,第八条 自治县人民政府设立旅游资源保护专项资金列入政府财政预算重点用于旅游资源普查、旅游资源保护规划编制、旅游资源的管理和保护。
本溪满族自治县旅游资源保护条例,,,,,第九条 旅游资源保护区域内进行各类开发建设应当符合自治县旅游资源保护规划。新建、改建、扩建建设项目涉及自治县旅游资源的应当事先征求旅游行政主管部门意见。旅游资源保护区域内原有建筑物及其他设施不符合自治县旅游资源保护规划的应当逐步进行改造、拆除或者迁出。电力、通信等基础设施的建设应当符合自治县旅游资源保护规划不得影响景观效果。旅游资源保护区域内设置商业服务网点涉及自治县旅游资源的由旅游行政主管部门根据景区景点的承载能力统一规划、控制数量、合理布局与周围景观和环境相协调。以宗教活动场所为主要游览内容的景区规划建设应当与宗教活动场所的风格、环境相协调。
本溪满族自治县旅游资源保护条例,,,,,第十条 温泉资源的开采经营实行许可和有偿使用制度。自治县人民政府应当组织有关科研机构对温泉资源进行科学勘探和调研评价探明储量评估利用限量。遵循开采量不得大于再生量的原则有计划地开采温泉保证温泉资源可持续利用。开采、经营温泉资源的单位和个人须经自治县水务、国土行政主管部门审批并到自治县旅游行政主管部门备案。经营者应当按照规定安装取水计量设施实行计量取水并保证取水计量设施正常使用。不得擅自拆除、损毁和更换取水计量设施。超出用水计划的部分按照累进加价原则收费。禁止无证勘查、开采、取用温泉资源。
本溪满族自治县旅游资源保护条例,,,,,第十一条 旅游资源保护区域内禁止采挖、运输、销售野生天女木兰等珍贵树种及枫树、榆树、槭树等树木。旅游资源保护区域内禁止采挖、运输、销售野生苔藓、花草、藤本类植物禁止折损树木枝叶。人工林的采伐不得影响景观效果。
本溪满族自治县旅游资源保护条例,,,,,第十二条 旅游资源保护区域内禁止非法采挖、运输、销售具有经营、观赏、收藏及科研价值的石头包括奇特的化石矿物晶体和岩石等。经营非旅游资源保护区域内石头的单位和个人须经自治县工商行政主管部门办理营业执照并到公安、交通行政主管部门办理准运手续。
本溪满族自治县旅游资源保护条例,,,,,第十三条 任何单位和个人发现溶洞应当及时向自治县国土资源行政主管部门报告。国土资源行政主管部门应当及时组织调查作出初步评价并建立档案。开发溶洞进行旅游活动的单位和个人应当向自治县国土资源行政主管部门提交开发设计方案内容应包括照明系统、通风系统、游览线路、安全保护措施等设计说明和施工图纸。经自治县国土资源主管部门核准并征求自治县旅游行政主管部门意见后报上级行政主管部门批准。对已发现尚未开发的溶洞由自治县国土资源行政主管部门负责封闭洞口设立地面保护标志。
本溪满族自治县旅游资源保护条例,,,,,第十四条 任何单位和个人都有保护旅游资源、设施和环境的义务有权检举破坏旅游资源、设施和环境的行为。对旅游资源保护和管理做出重要贡献的单位和个人自治县人民政府给予表彰或者奖励。
本溪满族自治县旅游资源保护条例,,,,,第十五条 自治县县域内利用旅游资源进行生产经营活动的单位和个人应当缴纳旅游资源有偿使用费。旅游资源有偿使用费实行收支两条线管理由自治县税务机关代收专门用于自治县旅游资源保护管理及旅游景区点财产的所有权人、使用权人损失补偿。
本溪满族自治县旅游资源保护条例,,,,,第十六条 旅游资源保护区域内禁止下列行为物品的设施污水坑、垃圾堆和有毒、有害化学物品仓库
本溪满族自治县旅游资源保护条例,,,,,第十七条 违反本条例第十条第二款、第三款规定的由自治县相关部门依法责令停止违法行为限期改正没收违法所得并处 5 万元罚款情节严重的吊销取水许可证并处 10 万元罚款。违反本条例第十条第四款规定的由相关主管部门处以 20万元罚款情节特别严重构成犯罪的依法追究刑事责任。
本溪满族自治县旅游资源保护条例,,,,,第十八条 违反本条例第十一条第一款规定的由自治县林业行政主管部门责令停止违法行为补种盗采株数 10 倍的树木并保证存活没收盗采的林木和违法所得并处盗采林木价值 10倍的罚款。情节严重构成犯罪的依法追究刑事责任。违反本条例第十一条第二款规定的责令停止违法行为恢复原貌没收盗采植物和违法所得并处 5 万元罚款。
本溪满族自治县旅游资源保护条例,,,,,第十九条 违反本条例第十二条第一款规定的由自治县人民政府相关行政主管部门责令停止违法行为没收石头和违法所得并处 30 万元罚款。违反本条例第十二条第二款规定未取得营业执照的由工商行政主管部门责令限期改正逾期未改正的没收石头和违法所得并处 20 万元罚款未办理准运手续的由自治县公安、交通行政主管部门责令限期补办手续逾期未补办手续的没收石头和违法所得并处 10 万元罚款情节严重构成犯罪的依法追究刑事责任。
本溪满族自治县旅游资源保护条例,,,,,第二十条 违反本条例第十三条第二款规定未经批准擅自开发溶洞进行旅游活动的由自治县国土行政主管部门给予警告责令停止开发行为拒不停止违法行为的没收采挖工具和设备未按照开发设计方案施工造成溶洞资源破坏的处以 10 万元罚款。
本溪满族自治县旅游资源保护条例,,,,,第二十一条 违反本条例第十六条规定的由自治县人民政府相关行政主管部门责令停止违法行为并予以处罚。具体处罚办法由自治县人民政府另行制定。
本溪满族自治县旅游资源保护条例,,,,,第二十二条 本条例自 2015 年 1 月 1 日起施行。
