文件名,编,分编,章,节,内容
保定市促进先进制造业发展若干规定,,,,,第一条 为了促进保定市先进制造业高质量发展建设京津冀世界级城市群中的制造强市根据有关法律、法规结合本市实际制定本规定。
保定市促进先进制造业发展若干规定,,,,,第二条 本市行政区域内先进制造业的规划布局、推动发展、保障促进等相关活动适用本规定。
保定市促进先进制造业发展若干规定,,,,,第三条 促进先进制造业发展应当遵循创新驱动、质效优先、绿色转型、协同融合、开放合作的原则。
保定市促进先进制造业发展若干规定,,,,,第四条 市、县级人民政府应当将促进先进制造业发展纳入国民经济和社会发展规划制定促进先进制造业发展的政策措施建立健全统筹推进工作机制协调解决发展中的重大问题服务保障先进制造业高质量发展。市、县级人民政府工业和信息化主管部门负责先进制造业协调推进、指导评价等工作。市、县级人民政府发展和改革、财政、自然资源和规划、生态环境、行政审批、市场监督管理、商务、科技、金融监管、人力资源和社会保障、教育等部门按照各自职责做好促进先进制造业发展的相关工作。
保定市促进先进制造业发展若干规定,,,,,第五条 市人民政府应当编制先进制造业发展规划明确先进制造业发展的总体目标、产业布局、主要任务、重点工作和保障措施。县级人民政府根据市先进制造业发展规划结合实际推进本行政区域内先进制造业发展。
保定市促进先进制造业发展若干规定,,,,,第六条 本市以促进先进制造业高质量发展为宗旨坚持新发展理念培育壮大优质制造业企业提升制造业产业链提高先进制造业集群竞争力推进先进制造业数字化、绿色化、品牌化、国际化发展。本市统筹整合优势资源推动先进制造业产业协同、区域协同积极融入京津冀协同发展和雄安新区建设国家战略。
保定市促进先进制造业发展若干规定,,,,,第七条 市人民政府应当制定先进制造业企业培育指导计划提供从技术孵化到企业、产业以及产业集群的全周期服务加强企业梯度培育做大做强做优龙头企业、科技型领军企业、专精特新中小企业。
保定市促进先进制造业发展若干规定,,,,,第八条 市人民政府应当推进先进制造业重点产业链发展推进产业链重大项目建设。市、县级人民政府应当推动产业链招商、园区招商、专业招商鼓励重点产业链相关园区、龙头企业带动产业链上下游企业协同开展技术创新和产业化协作。
保定市促进先进制造业发展若干规定,,,,,第九条 市人民政府应当统筹产业集群区域布局强化产业集群梯次培育壮大县域特色产业集群依托领军企业以及科研院所、行业协会、产业联盟等第三方组织创新产业集群治理模式。
保定市促进先进制造业发展若干规定,,,,,第十条 本市实施先进制造业集群梯次培育计划辐射引领全市先进制造业高质量发展。支持电力及新能源装备集群向世界级先进集群迈进推动电力装备、智能网联新能源汽车等优势产业延链生物医药健康、高端新材料等潜力优势产业补链纺织服装箱包、食品加工和通用设备制造等传统产业升链新型储能、第三代半导体、合成生物、服务机器人、算力网络、生物基础材料、细胞和基因治疗等战略性新兴产业建链发展服务型制造业打造现代化产业体系。
保定市促进先进制造业发展若干规定,,,,,第十一条 市人民政府定期发布产业基础领域技术攻关项目对取得重大攻关突破并实现产业化的企业或者团队按照规定给予奖励、补助。市、县级人民政府应当建立激励和风险补偿机制拓展优化首台套重大技术装备保险补偿和激励政策推动首台套重大技术装备、首项技术、首个专利等突破性技术成果的示范应用推广应用新技术、新产品、新服务。
保定市促进先进制造业发展若干规定,,,,,第十二条 市、县级人民政府应当统筹推进新一代信息技术与先进制造业融合推进工业互联网平台建设以及应用推动制造业企业研发设计、生产制造、经营管理、市场服务等场景数字化改造支持有条件的企业通过技术改造建设智能工位、智能产线、智能车间、智能工厂推动园区和产业集聚区数字化转型。市、县级人民政府工业和信息化部门应当建立健全数字化公共服务体系制定分级分类规范支持制造业数字化、网络化、智能化改造试点项目培育示范应用场景和标杆企业。
保定市促进先进制造业发展若干规定,,,,,第十三条 市、县级人民政府应当加强节能诊断和节能监察推广绿色设计、绿色制造和清洁生产支持企业、园区、行业间合作开展绿色制造技术改造加快制造业绿色低碳转型发展绿色循环经济构造绿色制造体系。
保定市促进先进制造业发展若干规定,,,,,第十四条 市、县级人民政府实施品牌提升工程加强先进制造业品牌建设发展品牌文化培育产业、企业、产品品牌塑造保定市先进制造业品牌形象。
保定市促进先进制造业发展若干规定,,,,,第十五条 市、县级人民政府应当支持先进制造业企业加强国际交流合作开展产品国际认证、申请境外专利、商标国际注册和参与国际标准制定等活动。鼓励外资企业依法在本市设立地区总部、先进制造业研发中心和营运中心。
保定市促进先进制造业发展若干规定,,,,,第十六条 市人民政府应当加强对产业园区发展先进制造业的规划引导推动园区市场化、差异化、特色化发展建立梯度布局、利益共享、资源互补、协同发展的共同体。
保定市促进先进制造业发展若干规定,,,,,第十七条 市、县级人民政府编制国土空间规划应当统筹考虑先进制造业发展需求鼓励划设工业用地控制线严格控制工业用地转为其他用地在土地利用年度计划中安排一定用地指标优先用于先进制造业项目。自然资源和规划部门应当推进工业用地供应由出让为主向租赁、出让并重转变灵活采取长期租赁、先租赁后出让、弹性年期出让等方式供地支持工业企业选择适宜的用地方式。落实工业用地节约集约有关政策盘活闲置工业用地。生态环境部门应当加强先进制造业项目选址选线、生态环保措施的指导支持先进制造业绿色发展。
保定市促进先进制造业发展若干规定,,,,,第十八条 市、县级人民政府应当建立激励机制统筹使用先进制造业相关财政专项资金建立健全以股权投资、财政贴息、事后奖补为主的财政支持机制鼓励先进制造业企业公平参与竞争性分配使用。财政部门应当遵循政策性导向和市场化运作原则探索设立促进先进制造业发展基金用于引导和带动社会资本支持先进制造业企业。
保定市促进先进制造业发展若干规定,,,,,第十九条 市、县级人民政府应当建立融资风险补偿机制为金融机构开展针对先进制造业企业的融资业务提供风险补偿。金融监督管理部门应当支持银行机构与产业投资基金、证券、保险、政府性融资担保机构等合作加大对先进制造业的信贷支持力度。发展科技保险健全科技保险奖励机制和再保险制度。
保定市促进先进制造业发展若干规定,,,,,第二十条 市、县级人民政府应当加大先进制造业领域人才的全方位培养、引进和使用力度。人力资源和社会保障、工业和信息化部门应当加强先进制造业人才需求预测制定实施先进制造业领域企业家和高层次技能人才培训计划。教育、工业和信息化部门应当通过开展职业技能培训和岗位提升培训推行企业新型学徒制完善产教融合的人才培养模式支持引导社会力量参与紧缺人才培养。
保定市促进先进制造业发展若干规定,,,,,第二十一条 科学技术部门应当建立健全源头创新、技术创新、成果转化、企业培育等产学研用创新体系支持建设国家级或者省级重点实验室、技术创新中心、产业创新中心、制造业创新中心等重大创新平台。
保定市促进先进制造业发展若干规定,,,,,第二十二条 市场监督管理部门应当完善质量监管体系强化企业质量主体责任建立健全质量安全预警、产品全生命周期质量监管等制度。建立先进制造业领域知识产权保护机制提高知识产权保护能力。鼓励和支持企业加强先进制造业领域知识产权创造。鼓励企业投保知识产权保险减轻企业申请和维护知识产权的费用等负担。
保定市促进先进制造业发展若干规定,,,,,第二十三条 市、县级人民政府制定对先进制造业企业利益、权利义务、正常生产经营有重大影响的政策应当事先征求相关企业的意见对可能增加企业成本、影响企业正常生产经营的政策调整应当合理设置缓冲过渡期。对国家和省免申即享的惠企政策市、县级人民政府相关部门应当及时、准确直达企业。
保定市促进先进制造业发展若干规定,,,,,第二十四条 市、县级人民政府应当加强对先进制造业发展相关指标进行常态化监督促进先进制造业发展。市、县级人民政府工业和信息化部门应当定期开展区域先进制造业发展环境评估并向社会公布。市、县级人民政府有关部门应当系统研究促进先进制造业发展的扶持政策定期开展政策执行绩效评估和调整优化提高政策的精准度。
保定市促进先进制造业发展若干规定,,,,,第二十五条 市、县级人民政府、部门及其工作人员在先进制造业促进工作中因先行先试未达到预期效果但符合法律、法规以及国家和省的政策规定、未牟取不正当利益、未损害公共利益和他人合法权益等情形的可以依法从轻、减轻或者免除责任。高等学校、科研机构、国有企业、事业单位在先进制造业促进工作中未达到预期效果或者因成果转化后续价值发生变化造成损失其负责人已经履行应尽职责、未牟取不正当利益的负责人不承担相关责任。
保定市促进先进制造业发展若干规定,,,,,第二十六条 本规定自 2023 年 12 月 12 日起施行。
