文件名,编,分编,章,节,内容
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第一条 为了加强文化遗产的保护传承和弘扬民族优秀传统文化根据《中华人民共和国非物质文化遗产法》《中华人民共和国文物保护法》等法律法规结合兰坪白族普米族自治县以下简称自治县实际制定本条例。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第二条 自治县行政区域内文化遗产的保护适用本条例。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第三条 本条例所称的文化遗产包括传文学礼仪古傈僳摆时、怒族阿楼西杯等具有当地民族特色的民间音乐、舞蹈、文学故事、传说啦井盐马古镇、石登拉竹河村、营盘拉古村等具有当地民族代表性的特色村落祠建筑群、兔峨土司衙署、金鸡寺等古墓葬、古遗址、古建筑和具有革命纪念意义的通甸武装暴动胜利纪念址等
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第四条 自治县人民政府应当根据文化遗产保护规划和年度工作计划将文化遗产保护经费纳入年度财政预算。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第五条 自治县人民政府设立文化遗产保护资金。资金主要用于音像资料、书籍等的整理出版征集、收购运转维护。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第六条 自治县人民政府应当通过提供必要的传承场所和传承补助经费等措施支持非物质文化遗产项目代表性传承人开展传承、传播活动。自治县资助县级非物质文化遗产项目代表性传承人开展传承传播活动每人每年不低于 2000 元。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第七条 自治县文化行政主管部门负责文化遗产的保护工作其他有关部门应当按照各自职责做好文化遗产保护的相关工作。乡镇人民政府应当做好本辖区内文化遗产的保护工作。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第八条 自治县文化行政主管部门应当组织编制文化遗产保护规划和年度工作计划报自治县人民政府批准后实施。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第九条 自治县成立文化遗产专家综合评审委员会负责文化遗产的评审推荐工作其成员由自治县文化行政主管部门聘请。自治县文化行政主管部门组织编制文化遗产保护名录经文化遗产专家综合评审委员会评审报自治县人民政府批准后向社会公布。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第十条 自治县人民政府应当加强对文化遗产保护工作的领导注重专业技术人才、非物质文化遗产项目代表性传承人的培养与扶持并提供必要的保护传承条件。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第十一条 符合下列条件的人员可以认定为非物质文化遗产项目代表性传承人影响
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第十二条 非物质文化遗产项目代表性传承人无正当理由不履行义务在传承活动中随意改变非物质文化遗产的形式和内涵谋取非法利益的依法取消其传承人资格。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第十三条 县级非物质文化遗产项目代表性传承人因年老、疾病等原因丧失传承能力难以履行传承义务的由自治县文化行政主管部门按传承人评审标准重新认定传承人。原代表性传承人继续享受传承人待遇。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第十四条 自治县人民政府支持普米族学会、傈僳族学会、怒族学会等社会团体、组织和个人依法参与文化遗产的普查、挖掘、整理、传承、保护、开发利用等工作。对做出显著成绩的按照国家和省的有关规定给予表彰奖励。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第十五条 自治县人民政府应当结合民族节庆、民间习俗等组织开展文化遗产的展示、宣传和推荐活动。支持依法开展群众性的文化遗产传承、传播活动。鼓励公民穿戴少数民族服饰。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第十六条 自治县旅游产业发展应当与合理利用文化遗产相结合突出地方民族特色促进文化遗产的保护传承。鼓励发展民族特色文化旅游产业。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第十七条 自治县人民政府应当扶持白族服饰、普米族服饰、羊头琴、氆氇纺织、竹编工艺等具有地方民族特色的传统手工艺品、服饰等产品的开发、生产和销售。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第十八条 自治县人民政府应当加强民族民间特色饮食文化的开发扶持发展具有当地民族特色的饮食产业。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第十九条 自治县人民政府鼓励和支持研究机构、学术团体、民间组织和个人对文化遗产资源进行合理开发利用依法开展文学艺术精品和影视作品的创作、拍摄。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第二十条 文化遗产开发利用应当尊重各民族的风俗习惯不得破坏民族团结、侵犯公民的合法权益。禁止以歪曲、贬损等方式使用文化遗产。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第二十一条 自治县文化行政主管部门及相关部门的工作人员在文化遗产保护管理工作中玩忽职守、滥用职权、徇私舞弊的由其所在单位或者上级主管部门给予处分构成犯罪的依法追究刑事责任。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第二十二条 违反本条例规定侵占、破坏列入自治县文化遗产保护名录的资料、实物、建筑物、场所等的由自治县文化行政主管部门责令改正没收违法所得并依法承担相应的法律责任。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第二十三条 本条例经自治县人民代表大会审议通过报云南省人民代表大会常务委员会审议批准由自治县人民代表大会常务委员会公布施行。自治县人民政府应当根据本条例制定实施办法。
云南省兰坪白族普米族自治县文化遗产保护条例,,,,,第二十四条 本条例由自治县人民代表大会常务委员会负责解释。
