文件名,编,分编,章,节,内容
泰山风景名胜区保护管理条例,,,第一章 总则,,第一条 泰山是国家级风景名胜区、世界自然与文化遗产。为加强泰山风景名胜区管理有效保护和合理开发利用风景名胜资源根据国家有关法律、法规结合泰山风景名胜区实际制定本条例。
泰山风景名胜区保护管理条例,,,第一章 总则,,第二条 本条例所称泰山风景名胜区包括登天、天烛峰、桃花峪、樱桃园、玉泉寺、灵岩寺六个景区及外围保护地带其面积和界线按国务院批准的总体规划确定。
泰山风景名胜区保护管理条例,,,第一章 总则,,第三条 泰山风景名胜区的规划、建设、保护和管理适用本条例。
泰山风景名胜区保护管理条例,,,第一章 总则,,第四条 泰山风景名胜区的保护和建设必须符合国务院批准的《泰山风景名胜区总体规划》遵循严格保护、科学规划、统一管理、永续利用的原则。
泰山风景名胜区保护管理条例,,,第一章 总则,,第五条 省人民政府自然资源主管部门负责组织编制泰山风景名胜区规划监督、指导、协调规划实施。省人民政府其他有关部门按照各自职责共同做好泰山风景名胜区有关监督管理工作。泰安市、济南市人民政府按照行政区划负责协调泰山风景名胜区的保护、利用和管理工作。泰山风景名胜区管理机构负责泰山风景名胜区的保护、利用和管理的具体工作。
泰山风景名胜区保护管理条例,,,第一章 总则,,第六条 泰安市、济南市人民政府和泰山风景名胜区管理机构应当加强对泰山山体、历史遗迹、文物古迹、古树名木、泰山石等风景名胜资源保护的宣传教育公开对破坏风景名胜资源行为的举报方式增强社会公众的保护和参与意识。
泰山风景名胜区保护管理条例,,,第二章 保护,,第七条 省人民政府和泰安市、济南市人民政府应当采取措施切实保护泰山风景名胜区原有的地形地貌和自然人文景观。
泰山风景名胜区保护管理条例,,,第二章 保护,,第八条 泰山风景名胜资源属于国家所有。严禁以任何名义和方式出让或者变相出让风景名胜资源及景区土地。
泰山风景名胜区保护管理条例,,,第二章 保护,,第九条 泰山风景名胜区所在地市人民政府必须把风景名胜资源的保护工作列为重要任务建立健全规章制度制定保护措施落实保护责任。
泰山风景名胜区保护管理条例,,,第二章 保护,,第十条 泰山风景名胜区按其景观价值和保护需要以各游览景区为核心实行四级保护亭、岱庙、岱宗坊直至岱顶玉皇庙封禅祭祀活动的序列空间环境以及蒿里山、佛爷寺和规划开辟的中华文化游览线景区、桃花峪景区、樱桃园景区、玉泉寺景区、灵岩寺景区以内的其他区域
泰山风景名胜区保护管理条例,,,第二章 保护,,第十一条 对泰山风景名胜资源应当采取下列保护措施遗迹等文物古迹建立档案、划定保护范围、设立标志实行专人保护并落实避雷、防火、防洪、防震、防蛀、防腐、防盗等措施护林防火和病虫害防治措施必要时可对重要景区、景点实施定期封闭轮休警示标志境
泰山风景名胜区保护管理条例,,,第二章 保护,,第十二条 在泰山风景名胜区内进行下列活动应当经泰山风景名胜区管理机构审核后依照有关法律、法规的规定报有关主管部门批准物标本
泰山风景名胜区保护管理条例,,,第二章 保护,,第十三条 在泰山风景名胜区内禁止下列行为破坏景观、植被和地形地貌的行为物品的设施点火、烧香、燃放烟花爆竹或者孔明灯等泰山风景名胜区内涉及文物保护、自然保护区管理以及其他自然资源保护、利用、管理的应当同时执行国家和省有关法律、法规的规定。
泰山风景名胜区保护管理条例,,,第二章 保护,,第十四条 禁止盗采、销售泰山石。
泰山风景名胜区保护管理条例,,,第二章 保护,,第十五条 泰山风景名胜资源实行有偿使用具体办法由省人民政府制定。
泰山风景名胜区保护管理条例,,,第二章 保护,,第十六条 省人民政府和泰安市、济南市人民政府应当采取措施多渠道筹集泰山风景名胜区保护资金。国家专项拨款、地方财政拨款、国内外捐助以及风景名胜资源有偿使用收益必须专项用于泰山风景名胜区的保护和管理。
泰山风景名胜区保护管理条例,,,第三章 规划建设,,第十七条 泰山风景名胜区总体规划是风景名胜区保护、开发、建设和管理等各项活动的依据必须严格执行任何单位和个人不得擅自改变。
泰山风景名胜区保护管理条例,,,第三章 规划建设,,第十八条 泰山风景名胜区详细规划应当符合风景名胜区总体规划由省人民政府自然资源主管部门组织编制并报国务院有关部门审批。泰山风景名胜区详细规划确需修改的应当报原审批机关批准。
泰山风景名胜区保护管理条例,,,第三章 规划建设,,第十九条 禁止违反泰山风景名胜区规划在泰山风景名胜区内设立各类开发区或者在核心景区内建设宾馆、招待所、培训中心、疗养院以及与风景名胜资源保护无关的其他建筑物在泰山风景名胜区设立前已经建设的应当按照风景名胜区规划逐步迁出。在泰山风景名胜区四级保护区内进行建设活动应当与泰山风景名胜区规划的要求相协调。
泰山风景名胜区保护管理条例,,,第三章 规划建设,,第二十条 在泰山风景名胜区内进行各项建设应当经泰山风景名胜区管理机构审核后依照有关法律、法规的规定办理审批手续。在泰山风景名胜区内修建缆车、索道等重大建设工程项目的选址方案应当报省自然资源主管部门核准。
泰山风景名胜区保护管理条例,,,第三章 规划建设,,第二十一条 泰山风景名胜区建设项目的设计必须由具备相应资质的设计单位承担。
泰山风景名胜区保护管理条例,,,第三章 规划建设,,第二十二条 泰山风景名胜区及其外围保护地带的建设项目其布局、高度、体量、造型和色彩等必须注重保持泰山特色与周围景观和环境相协调。
泰山风景名胜区保护管理条例,,,第三章 规划建设,,第二十三条 泰山风景名胜区建设项目的施工必须由具备相应资质的施工单位承担。施工场地应当文明整齐不得乱堆乱放。位于游览区内的施工场地要设立围栏以维护景容和游览安全。建设项目竣工验收合格后由施工单位清理施工场地恢复植被。
泰山风景名胜区保护管理条例,,,第四章 管理,,第二十四条 泰山风景名胜区内的所有单位必须服从当地人民政府对泰山风景名胜区的统一规划和管理。
泰山风景名胜区保护管理条例,,,第四章 管理,,第二十五条 在泰山风景名胜区内利用风景名胜区资源获得经营优势的商业、食宿、广告、娱乐、专线运输等经营项目应当由泰山风景名胜区管理机构依照有关法律、法规和风景名胜区规划采用招标等公平竞争的方式确定经营者。未取得风景名胜区项目经营权不得在泰山风景名胜区内从事经营活动。泰山风景名胜区管理机构应当与经营者签订合同按照安全、卫生、环保等要求明确各自的权利义务。经营者应当缴纳风景名胜资源有偿使用费不得超出风景名胜区管理机构确定的地点和范围从事经营活动。当地人民政府应当加强对景区内商品和服务价格的审核与监督管理保护旅游者的合法权益。
泰山风景名胜区保护管理条例,,,第四章 管理,,第二十六条 泰山风景名胜区内的单位和个人应当按照规定负责指定区域内的清扫保洁工作。在泰山风景名胜区因生活、生产经营所排废水必须经排放单位或者泰山风景名胜区、市污水处理设施处理达到国家规定的污水排放标准。
泰山风景名胜区保护管理条例,,,第四章 管理,,第二十七条 泰山风景名胜区管理机构应当在风景名胜区内设置准确规范的风景名胜区路标、安全警示等标牌及时排除危岩险石等不安全因素。运营单位应当定期对车辆、船舶、索道、缆车、大型游乐设施等进行检查和维护保障游览安全。
泰山风景名胜区保护管理条例,,,第四章 管理,,第二十八条 进入泰山风景名胜区的车辆必须服从管理按照指定线路行驶在规定地点停放。
泰山风景名胜区保护管理条例,,,第四章 管理,,第二十九条 在泰山风景名胜区从事导游的必须按照规定取得导游证件文明服务。禁止无证导游或者随意提高导游价格扰乱旅游市场秩序。
泰山风景名胜区保护管理条例,,,第四章 管理,,第三十条 泰山风景名胜区应当制定景区游览的各项具体规定并在景点的醒目位置予以公告。进入泰山风景名胜区的旅游者和其他人员应当爱护风景名胜资源和各项公共设施维护环境卫生和公共秩序遵守泰山风景名胜区的有关规定。
泰山风景名胜区保护管理条例,,,第四章 管理,,第三十一条 在泰山风景名胜区保护、利用和管理工作中做出显著成绩的单位和个人由省、市人民政府或者有关部门按照有关规定给予表彰和奖励。
