文件名,编,分编,章,节,内容
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第一条 为了铸牢中华民族共同体意识促进各民族交往交流交融根据《中华人民共和国民族区域自治法》《新疆维吾尔自治区民族团结进步模范区创建条例》等法律法规结合自治州实际制定本条例。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第二条 本条例适用于自治州行政区域内各民族交往交流交融促进工作及相关活动。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第三条 促进各民族交往交流交融应当坚持中国共产党的领导坚持以铸牢中华民族共同体意识为主线坚持以人民为中心的发展思想坚持法治思维和法治方式使发展成果惠及民生逐步实现各民族在空间、文化、经济、社会、心理等方面的全方位嵌入引导各民族牢固树立休戚与共、荣辱与共、生死与共、命运与共的共同体理念。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第四条 自治州人民政府塔城、阿勒泰地区行政公署以下简称地区行政公署县市人民政府应当将促进各民族交往交流交融纳入民族团结进步创建工作建立健全工作机制和监督检查、考核评价制度。县级以上人民政府民族宗教事务部门负责各民族交往交流交融促进工作的综合协调、业务指导、督促检查等工作。其他有关部门按照各自职责做好各民族交往交流交融促进工作。乡镇人民政府、街道办事处负责本辖区内各民族交往交流交融促进工作并指导村社区常态化开展铸牢中华民族共同体意识宣传教育活动。村居民委员会应当协助做好各民族交往交流交融促进工作发挥群众自治组织作用推动将维护民族团结、铸牢中华民族共同体意识纳入村规民约、居民公约。企事业单位、社会团体和其他组织应当发挥各自特点和优势开展促进各民族交往交流交融的相关活动。公民应当坚持铸牢中华民族共同体意识弘扬和践行社会主义核心价值观树立正确的国家观、历史观、民族观、文化观、宗教观增强对伟大祖国、中华民族、中华文化、中国共产党、中国特色社会主义的认同自觉维护民族团结和国家统一不说不利于民族团结的话不做不利于民族团结的事。公职人员、人大代表、政协委员、教育工作者、先进模范人物等应当在各民族交往交流交融促进工作中发挥模范带动作用。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第五条 县级以上人民政府应当采取经济补助、环境优化、完善设施等措施逐步推动构建各民族互嵌式的社会结构和社区环境并履行下列职责构和条件科学规划布局幼儿园、中小学、大中专院校以及各级各类医疗卫生机构、养老机构、托幼机构、公共文化体育场所和设施等提升公共服务供给保障能力发挥公共服务设施引导作用推动各族群众在社会生活空间上互嵌式发展度措施在老旧小区改造、新建商品住宅、保障性住房管理等工作中通过政策引导推进构建互嵌式居住环境完善基础设施和公共服务配套促进各族群众互嵌式居住街区、旅游景区等建设工作依托历史文化街区和历史地段建设文化展示、传统居住、特色商业、休闲体验等特定功能区培育适应各族群众旅游、休闲、娱乐、餐饮、购物等需求的新业态嵌式示范乡镇、街道、村社区、小区、商业街区。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第六条 各级人民政府应当深入实施文化润疆搭建平台有形有感有效促进各民族交往交流交融并履行下列职责主题广场等阵地建设突出中华文化特征和中华民族视觉形象实、考古实物、文化遗存讲好民族团结故事传统文化交流开展各类文化体育活动、中华民族节日欢庆活动、民族团结一家亲和民族团结联谊活动等主义教育示范基地、博物馆、纪念馆、美术馆、公共图书馆、文化馆以及乡镇综合文化站表性传承人组织文艺院团、志愿者服务队、群众性文艺团体、民间戏班等常态化开展文艺下基层活动扶持民间文艺团体发展对具有一定人员规模、定期开展活动的在场地、服装、设备等方面给予必要经费保障和支持自觉规范使用国家通用语言文字鼓励社会组织和个人通过公益活动、捐赠、提供服务等多种形式参与基层文化活动。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第七条 县级以上人民政府文化和旅游、民族宗教事务、发展和改革等部门应当加强对旅游产业发展的规划、服务和监管指导旅游企业、旅游景区点、旅游民宿挖掘自治州人文资源和文化底蕴开发彰显铸牢中华民族共同体意识的旅游精品线路、旅游演艺项目、旅游特色产品。鼓励各类景区点对县级以上民族团结进步模范个人出台门票减免优惠政策。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第八条 各级人民政府应当贯彻新发展理念促进经济社会高质量发展提高人民生活品质推动各民族共同富裕并履行下列职责推动城乡融合发展促进各民族人口在城乡之间、区域之间有序流动加强各民族流动人口的服务管理工作提供均等化基本公共服务体在自治州投资兴业引导和推动企业履行社会责任把铸牢中华民族共同体意识融入企业宣传、管理和文化建设促进各民族职工、商户、市场经营者之间交往交流交融会救助、社会保障等方面的服务推进产业进乡村引导各族群众通过土地流转、务工就业等方式实现经济增收业合作、相互往来促进各族群众在共事共业中相互了解、相互尊重、相互包容、相互欣赏、相互学习、相互帮助各族群众建立手工艺合作社、家庭手工作坊鼓励开发制作彰显铸牢中华民族共同体意识的传统手工技艺新产品绿水清的美丽伊犁实现生态富民。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第九条 各级人民政府应当做好军地、军警民、兵地、援疆省市与地方的民族团结进步工作共同开展促进各民族交往交流交融活动。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第十条 各级人民政府应当引导各族群众践行文明新风开展移风易俗培育构建家庭和美、邻里和睦、社会和谐的中华民族一家亲氛围。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第十一条 各级人民政府应当将铸牢中华民族共同体意识教育纳入国民教育、干部教育和社会教育体系广泛组织开展宣传教育和实践活动。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第十二条 各级人民政府应当支持大中专院校、科研院所、学术团体等加强对促进各民族交往交流交融的学术研讨和研究编写、出版弘扬中华民族共同体意识的作品促进优秀文化成果转化应用。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第十三条 各级人民政府应当支持爱国主义教育基地、图书馆、博物馆、文化馆站、档案馆、纪念馆、科技馆、青少年宫等开展彰显铸牢中华民族共同体意识的文字、图片、音视频和实物等资料的收集、整理、展示工作。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第十四条 各级人民政府应当推进实施青少年筑基工程组织各族青少年交流活动建立健全城乡、学校、家庭多层次、多形式交流合作机制广泛开展结对合作、联谊联心、济困帮扶等活动。教育部门应当加强促进各族学生交往交流交融工作指导学校落实立德树人根本任务把铸牢中华民族共同体意识融入学前教育、义务教育、高中和职业教育、高等教育等办学治校、教书育人全过程广泛开展促进各族学生交往交流交融的各类教育实践活动。鼓励和支持各级大中专院校、中小学、幼儿园加强学校之间、学校与政府部门、学校与社会组织之间开展民族团结联谊活动引导各族青少年在交流体验和融情实践中铸牢中华民族共同体意识。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第十五条 各级人民政府应当拓展铸牢中华民族共同体意识宣传教育的网络空间推动主流媒体平台及政务网站开设铸牢中华民族共同体意识专题专栏开展理论阐释和政策解读。宣传、广播电视等部门应当建立健全铸牢中华民族共同体意识宣传教育常态化机制制作、传播铸牢中华民族共同体意识公益宣传片鼓励和引导社会各界讲述、创作促进各民族交往交流交融题材影视剧和其他文化产品。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第十六条 各级人民政府应当推动铸牢中华民族共同体意识宣传教育进机关、进学校、进企业、进乡镇街道、进村社区、进军警营、进团场连队、进宗教活动场所、进景区、进窗口单位、进其他社会组织。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第十七条 自治州人民政府、地区行政公署每三年县市人民政府每两年乡镇街道和部门单位每年对民族团结进步模范集体、模范个人进行评选表彰和奖励。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第十八条 负有促进各民族交往交流交融职责的行政机关及其工作人员滥用职权、玩忽职守、徇私舞弊的依法给予处分构成犯罪的依法追究刑事责任。
伊犁哈萨克自治州各民族交往交流交融促进条例,,,,,第十九条 本条例自 2024 年 1 月 1 日起施行。
