文件名,编,分编,章,节,内容
青岛市个体工商户和私营企业权益保护条例,,,,,第一条 为维护个体工商户和私营企业的合法权益促进个体私营经济健康发展根据有关法律、法规的规定结合本市实际情况制定本条例。
青岛市个体工商户和私营企业权益保护条例,,,,,第二条 个体经济、私营经济等非公有制经济是社会主义市场经济的重要组成部分各级人民政府应当创造条件鼓励、引导个体和私营经济的发展把发展个体私营经济纳入国民经济发展规划。各级人民政府的有关部门应当依照有关法律、法规的规定和各自的职责保护个体工商户和私营企业合法权益。
青岛市个体工商户和私营企业权益保护条例,,,,,第三条 个体劳动者协会、私营企业协会应当依照其章程维护个体工商户和私营企业的合法权益做好服务工作。
青岛市个体工商户和私营企业权益保护条例,,,,,第四条 个体工商户和私营企业在经营活动中应当遵守有关法律法规和职业道德不得损害国家和社会公共利益及他人的合法权益。
青岛市个体工商户和私营企业权益保护条例,,,,,第五条 对申请从事个体经营和开办私营企业以及个体工商户和私营企业在生产经营过程中申请办理相关事项的任何部门和单位不得违法附加前提条件。个体工商户和私营企业依法取得的营业执照除工商行政管理部门外其他任何单位和个人无权暂扣和吊销。
青岛市个体工商户和私营企业权益保护条例,,,,,第六条 个体工商户和私营企业对其合法财产依法享有占有、使用、收益和处分的权利禁止任何单位和个人侵占、哄抢、破坏或采取非法先行登记保存、查封、扣押、冻结、没收等方式侵犯个体工商户和私营企业的合法财产。
青岛市个体工商户和私营企业权益保护条例,,,,,第七条 个体工商户和私营企业可以依法取得土地使用权其使用土地与国有、集体企业平等对待。个体工商户和私营企业合法的生产经营场所任何单位和个人不得非法侵占。因建设等原因需征用其合法使用的土地或拆迁其房屋的应当依法给予安置和补偿。
青岛市个体工商户和私营企业权益保护条例,,,,,第八条 经核准登记的个体工商户和私营企业的字号或名称和注册商标等依法享有专用权。个体工商户和私营企业的商业秘密受法律保护。
青岛市个体工商户和私营企业权益保护条例,,,,,第九条 个体工商户和私营企业享有自主经营权可以依法自主选择生产经营行业和项目在核准登记的范围内自主经营。
青岛市个体工商户和私营企业权益保护条例,,,,,第十条 个体工商户和私营企业享有投资决策权自主决定在国内外投资办企业或对其他企业进行收购、承租、承包、参股和控股。私营企业可以按照规定兼并国有、集体企业或其他企业。
青岛市个体工商户和私营企业权益保护条例,,,,,第十一条 个体工商户和私营企业自主决定购进商品或销售产品有权拒绝任何部门、单位或个人的强制交易行为。
青岛市个体工商户和私营企业权益保护条例,,,,,第十二条 个体工商户和私营企业享有劳动用工权依法自主决定用工数量、期限和工资水平及分配方式有权依照有关法定条件和合法的劳动合同约定解聘或解雇从业人员。
青岛市个体工商户和私营企业权益保护条例,,,,,第十三条 个体工商户和私营企业的从业人员申请参加职业或专业技术职务资格考试、鉴定或评审的可由个体劳动者协会或私营企业协会组织报人事或劳动部门办理有关手续。人事或劳动部门对已通过有关资格考试、鉴定或评审的应当按规定颁发相应的证书。
青岛市个体工商户和私营企业权益保护条例,,,,,第十四条 个体工商户和私营企业派员出国境进行经贸、科技方面的考察或洽谈等活动的可以按照有关规定办理出国手续也可以邀请国境外人员来本市进行经贸、科技活动。
青岛市个体工商户和私营企业权益保护条例,,,,,第十五条 经贸、科技等部门及其他有关行业管理部门应当根据国家、省、市产业政策对个体工商户和私营企业在投资方向、产品结构、科技信息等方面提供指导、咨询和服务。
青岛市个体工商户和私营企业权益保护条例,,,,,第十六条 个体工商户和私营企业可以按照有关规定享受税收方面的优惠政策。
青岛市个体工商户和私营企业权益保护条例,,,,,第十七条 商业银行应当根据国家产业政策和信贷原则向个体工商户和私营企业提供贷款支持并加强对个体工商户和私营企业在贷款方面的业务指导和服务工作。
青岛市个体工商户和私营企业权益保护条例,,,,,第十八条 私营企业可以依照有关规定取得进出口经营权可以与已经取得进出口经营权的企业联营或以委托代理等方式开展外贸业务。
青岛市个体工商户和私营企业权益保护条例,,,,,第十九条 鼓励、支持、引导个体工商户和私营企业向科技型、外向型发展。个体工商户和私营企业可以按照有关规定向科技行政主管部门申报科研、技术创新项目的立项和科技成果的鉴定、奖励。科技行政主管部门对个体工商户和私营企业的申报应当按照有关规定办理。
青岛市个体工商户和私营企业权益保护条例,,,,,第二十条 个体工商户和私营企业有权拒绝非法的收费、罚款和各种摊派行为。向个体工商户和私营企业发行有价证券、报刊和书籍等应当遵循自愿原则禁止以摊派等方式强迫其购买或订阅。向个体工商户和私营企业收费的部门或单位应当持有物价部门核发的收费许可证收费时收费人员应当出示收费员证和出具财政部门统一印制的收费票据并按照规定在缴费登记卡上登记。
青岛市个体工商户和私营企业权益保护条例,,,,,第二十一条 除法律、法规规定的外对个体工商户和私营企业进行的各类评比、升级、达标、鉴定、考试、考核等活动应当以明示的方式告知其自愿参加。
青岛市个体工商户和私营企业权益保护条例,,,,,第二十二条 各级人民政府组织的价格听证会议其内容与个体工商户和私营企业生产经营活动有关的应当通知个体工商户和私营企业代表参加。
青岛市个体工商户和私营企业权益保护条例,,,,,第二十三条 各级人民政府授予个体工商户和私营企业先进单位及从业人员劳动模范、先进个人等称号的由工商行政管理部门会同有关部门初审后报同级人民政府批准。
青岛市个体工商户和私营企业权益保护条例,,,,,第二十四条 鼓励外地人员来本市从事个体经营和开办私营企业。外地人员来本市投资达到规定标准的可以按照有关规定办理本市常住户口。
青岛市个体工商户和私营企业权益保护条例,,,,,第二十五条 私营企业董事、监事、经理、合伙人和其他职工有下列行为之一的应当承担相应的法律责任构成犯罪的依法追究刑事责任
青岛市个体工商户和私营企业权益保护条例,,,,,第二十六条 国家机关及其工作人员违反本条例有关规定有下列行为之一的由有关部门对直接负责的主管人员或直接责任人员给予行政处分构成犯罪的依法追究刑事责任法定条件之外附加条件的或采取推诿、拖延、阻挠以及其他歧视性做法的
青岛市个体工商户和私营企业权益保护条例,,,,,第二十七条 侮辱、殴打个体工商户和私营企业的业主或负责人员以及干扰、破坏个体工商户和私营企业正常生产经营秩序的由公安机关依照《中华人民共和国治安管理处罚法》给予处罚构成犯罪的依法追究刑事责任。
青岛市个体工商户和私营企业权益保护条例,,,,,第二十八条 本条例由工商行政管理机关负责组织实施。
青岛市个体工商户和私营企业权益保护条例,,,,,第二十九条 本条例自公布之日起施行。
